SPEAKER	VOWEL	F0	F1	F2	F3
W	i	174.76	309	2315	3433
W	i	193.45	313	2491	3182
W	u	170.70	322	812	2599
W	a	156.84	856	1189	2647
W	a	170.66	817	1883	2672
W	a	169.20	808	1688	2665
W	i	186.10	333	2397	3438
W	u	162.04	328	875	2501
W	a	157.71	877	1586	2697
W	i	171.09	288	2496	3597
W	a	152.27	896	1501	2698
W	i	214.75	243	2470	3340
W	u	202.09	306	915	2460
W	i	199.33	283	2402	3414
W	i	207.09	305	2352	3463
W	@	120.63	483	1854	2947
W	u	193.85	318	927	2465
W	a	176.86	831	1638	2637
W	u	169.78	307	1018	2507
W	a	148.66	879	1555	2691
W	i	157.13	341	2367	3341
W	u	175.27	293	856	2496
W	u	187.47	312	1080	2548
W	u	175.83	313	959	2750
W	u	180.45	305	946	2556
W	u	159.32	311	945	2547
W	a	159.00	774	1648	2662
W	i	178.62	283	2379	3271
W	u	188.26	306	941	2697
W	a	162.07	667	1798	2729
W	u	174.39	257	716	2449
W	a	145.11	902	1579	2706
W	i	172.11	254	2438	3180
W	a	142.80	873	1484	2728
W	u	181.63	307	1328	2651
W	a	160.15	652	1707	2749
W	i	174.21	256	2484	3260
W	a	142.86	855	1610	2620
W	i	160.16	332	2452	3389
W	u	160.88	316	853	2582
W	a	165.08	573	1867	2541
W	a	156.43	855	1775	2759
W	@	118.15	650	1766	2785
W	i	186.17	277	2502	3252
W	u	173.07	321	970	2501
W	a	149.56	835	1683	2683
W	i	160.56	295	2397	3338
W	@	126.21	403	1969	2919
W	u	173.01	308	864	2663
W	@	123.17	298	1625	2850
W	i	184.27	307	2478	3324
W	a	157.78	846	1678	2649
W	i	181.83	337	2366	3359
W	a	149.51	699	1216	2791
W	a	145.33	741	1238	2376
W	i	156.19	342	2365	3454
W	i	180.20	298	2407	3324
W	i	174.21	264	2425	3349
W	u	173.53	303	1301	2548
W	u	179.88	268	1002	2589
W	i	166.25	345	2293	3371
W	i	174.48	332	2480	3061
W	u	160.38	326	813	2547
W	a	146.81	853	1231	2891
W	a	156.29	791	1631	2613
W	a	156.23	730	1607	2520
W	i	167.01	328	2337	3360
W	u	149.49	338	919	2572
W	a	150.52	843	1648	2759
W	i	161.73	313	2398	3455
W	a	149.12	883	1516	2804
W	i	192.45	289	2394	3393
W	@	217.83	659	2093	2933
W	u	173.98	251	829	2650
W	@	199.74	381	1630	2559
W	i	161.55	279	2395	3451
W	@	194.40	449	1748	2939
W	i	171.95	320	2422	3493
W	i	223.82	468	1984	3032
W	@	244.87	364	1765	2694
